2026-05-04 01:15:38 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:44:06 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 01:44:06 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
2026-05-04 01:44:06 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 12.2ms
2026-05-04 01:44:06 | INFO     | hermes.http | ← GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest 200 11.9ms
2026-05-04 01:44:32 | INFO     | hermes.http | → GET /
2026-05-04 01:44:32 | INFO     | hermes.http | ← GET / 200 6.0ms
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /assets/index-C69sH78A.js
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /assets/index-BA2rVjBh.css
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /assets/index-BA2rVjBh.css 200 3.4ms
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /assets/index-C69sH78A.js 200 7.5ms
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /api/videos 200 17.5ms
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /favicon.ico
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /favicon.ico 200 8.9ms
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 19.9ms
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 22.6ms
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 01:44:33 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 11.7ms
2026-05-04 01:44:33 | INFO     | hermes.http | ← GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest 200 12.9ms
2026-05-04 01:44:49 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:46:35 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:46:43 | INFO     | hermes | 日志文件：/Volumes/d/hermes/backend/storage/logs/hermes.log（级别 INFO）
2026-05-04 01:46:44 | INFO     | hermes.http | → GET /docs
2026-05-04 01:46:44 | INFO     | hermes.http | ← GET /docs 200 1.7ms
2026-05-04 01:46:54 | INFO     | hermes.http | → GET /
2026-05-04 01:46:54 | INFO     | hermes.http | ← GET / 200 5.5ms
2026-05-04 01:46:54 | INFO     | hermes.http | → GET /assets/index-BA2rVjBh.css
2026-05-04 01:46:54 | INFO     | hermes.http | → GET /assets/index-C69sH78A.js
2026-05-04 01:46:54 | INFO     | hermes.http | ← GET /assets/index-BA2rVjBh.css 304 11.2ms
2026-05-04 01:46:54 | INFO     | hermes.http | ← GET /assets/index-C69sH78A.js 304 7.2ms
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /favicon.ico
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /favicon.ico 200 35.6ms
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /api/videos 200 66.1ms
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 50.0ms
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 54.1ms
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 01:46:55 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 50.2ms
2026-05-04 01:46:55 | INFO     | hermes.http | ← GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest 200 48.7ms
2026-05-04 01:47:16 | INFO     | hermes.http | → GET /api/configs/models
2026-05-04 01:47:16 | INFO     | hermes.http | ← GET /api/configs/models 200 26.8ms
2026-05-04 01:47:26 | INFO     | hermes.http | → GET /api/videos
2026-05-04 01:47:26 | INFO     | hermes.http | ← GET /api/videos 200 4.7ms
2026-05-04 01:47:26 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:47:26 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:47:26 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 8.5ms
2026-05-04 01:47:26 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines 200 14.1ms
2026-05-04 01:47:26 | INFO     | hermes.http | → GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages
2026-05-04 01:47:26 | INFO     | hermes.http | → GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest
2026-05-04 01:47:26 | INFO     | hermes.http | ← GET /api/chat/3cc60e49-87df-43d7-9278-ba2a38cc90db/messages 200 7.3ms
2026-05-04 01:47:26 | INFO     | hermes.http | ← GET /api/timelines/3cc60e49-87df-43d7-9278-ba2a38cc90db/manifest 200 7.2ms
2026-05-04 01:47:30 | INFO     | hermes.http | → GET /api/videos/dd5441a5-425d-498c-a0f2-e3db070459b3
2026-05-04 01:47:30 | INFO     | hermes.http | → GET /api/videos/dd5441a5-425d-498c-a0f2-e3db070459b3/timelines
2026-05-04 01:47:30 | INFO     | hermes.http | ← GET /api/videos/dd5441a5-425d-498c-a0f2-e3db070459b3 200 12.2ms
2026-05-04 01:47:30 | INFO     | hermes.http | ← GET /api/videos/dd5441a5-425d-498c-a0f2-e3db070459b3/timelines 200 14.1ms
2026-05-04 01:47:32 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4
2026-05-04 01:47:32 | INFO     | hermes.http | → GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4/timelines
2026-05-04 01:47:32 | INFO     | hermes.http | ← GET /api/videos/f897583c-0754-45da-9794-26e2697e12a4 200 5.5ms
